day,time
Friday,night
Saturday,morning
Friday,night
Saturday,morning
Thursday,night
Saturday,evening
Tuesday,morning
Tuesday,morning
Tuesday,morning
Sunday,evening
Sunday,evening
Saturday,evening
Saturday,evening
Saturday,evening
Saturday,evening
Saturday,evening
Saturday,evening
Saturday,evening
Saturday,night
Saturday,night
Saturday,night
Saturday,night
Saturday,night
Saturday,night
Sunday,morning
Sunday,morning
Sunday,morning
Saturday,evening
Sunday,night
Saturday,evening
Sunday,night
Thursday,evening
Saturday,evening
Sunday,night
Saturday,evening
Sunday,night
Friday,night
Friday,night
Saturday,evening
Sunday,night
Saturday,evening
Saturday,evening
Sunday,night
Friday,evening
Saturday,evening
Sunday,night
Saturday,evening
Sunday,night
Sunday,evening
Saturday,evening
Sunday,night
Sunday,night
Sunday,night
Sunday,night
Sunday,night
Sunday,night
Sunday,night
Wednesday,morning
Wednesday,evening
Wednesday,evening
Wednesday,evening
Saturday,night
Wednesday,morning
Sunday,morning
Wednesday,night
Wednesday,night
Sunday,night
Sunday,evening
Thursday,morning
Sunday,night
Wednesday,morning
Wednesday,morning
Wednesday,morning
Thursday,evening
Wednesday,morning
Thursday,evening
